Номер,Название,Город,Адрес,Период,Иконка,Состояние
661710782360005,Особняк И.И. Ермолаева,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 64 ",с 1900 до 1920,Изба,Руины
661710784250005,Дом жилой,Нижний Тагил,"г. Нижний Тагил, ул. Первомайская, д. 15",период не определен,Домик,Хорошее
661710784260005,Александро-Невская церковь на Гальянке,Нижний Тагил,"г. Нижний Тагил, ул. Совхозная, д. 5",с 1850 до 1880,Церковь,Хорошее
661710787820005,Дом Бондина А.П.,Нижний Тагил,"г. Нижний Тагил, ул. Красноармейская, д. 8",с 1900 до 1920,Изба,Удовлетворительное
661710787830005,Бани,Екатеринбург,"г. Екатеринбург, ул. Первомайская, д. 71",с 1940 до 1960,Амбар,Удовлетворительное
661710787840005,Дом А.А. Дрозжилова,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 12",с 1850 до 1880,Домик,Удовлетворительное
661710787860005,Аптека Лохтина,Нижний Тагил,"г. Нижний Тагил, ул. Карла Маркса, д. 29",период не определен,Домик,Удовлетворительное
661710787870005,"Здание земского дома, в котором в 1905 г. помещалась тюрьма политзаключенных",Нижний Тагил,"г. Нижний Тагил, ул. Уральская, д. 8",с 1900 до 1920,Дворец,Руины
661710787880005,Дом Орлова,Нижний Тагил,"г. Нижний Тагил, ул. Уральская, д. 20",период не определен,Домик,Удовлетворительное
661710787890005,Дом жилой,Нижний Тагил,"г. Нижний Тагил, ул. Уральская, д. 6",период не определен,Домик,Удовлетворительное
661710787900005,Здание горнозаводского (реального) училища,Нижний Тагил,"г. Нижний Тагил, ул. Уральская, д. 4",с 1900 до 1920,Завод,Удовлетворительное
661710787910005,Дом инспектора училищ,Нижний Тагил,"г. Нижний Тагил, ул. Уральская, д. 4, корпус 1",с 1900 до 1920,Дворец,Удовлетворительное
661710787920005,Магазин провиантский нижний,Нижний Тагил,"г. Нижний Тагил, ул. Уральская, д. 2 ""А""",с 1850 до 1880,Домик,Хорошее
661710787930005,Магазин провиантский верхний,Нижний Тагил,"г. Нижний Тагил, пр. Ленина, д. 1 ""А"", строение 2",с 1900 до 1920,Домик,Хорошее
661710787940005,Здание в стиле позднего русского классицизма,Ирбит,"г. Ирбит, ул. Карла Маркса, д. 30",с 1850 до 1880,Домик,Плохое
661710787950005,Образец казенного здания конца XIX в.,Ирбит,"г. Ирбит, ул. Карла Маркса, д. 122",с 1880 до 1900,Домик,Удовлетворительное
661710787960005,Здание - образец городского жилищного строительства конца XIX в.,Ирбит,"г. Ирбит, ул. Елизарьевых, д. 23",с 1880 до 1900,Домик,Удовлетворительное
661710787970005,Здание бывшего магазина купцов Агафуровых,Ирбит,"г. Ирбит, ул. Красноармейская, д. 5",период не определен,Многоэтажка,Хорошее
661710787980005,"Одноэтажный каменный особняк, украшенный богатой каменной резьбой с угловым входом",Ирбит,"г. Ирбит, ул. Коммуны, д. 29",с 1800 до 1850,Домик,Хорошее
661710787990005,Одноэтажный каменный особняк с каменной резьбой по фасаду,Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 42",с 1800 до 1850,Домик,Удовлетворительное
661710788000005,Двухэтажное каменное здание бывших воинских казарм,Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 61",с 1880 до 1900,Домик,Руины
661710788010005,Здание драматического театра им. А.Н. Островского,Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 51",с 1900 до 1920,Дворец,Удовлетворительное
661710788020005,Бывший дом купчихи Пахомовой,Ирбит,"г. Ирбит, ул. Володарского, д. 12",с 1850 до 1880,Домик,Удовлетворительное
661710788030005,Бывший дом купцов Казанцевых,Ирбит,"г. Ирбит, ул. Володарского, д. 14",с 1900 до 1920,Домик,Удовлетворительное
661710788040005,Здание бывшего жилого дома врача Антонова,Ирбит,"г. Ирбит, ул. Карла Маркса, д. 28",с 1850 до 1880,Домик,Удовлетворительное
661710788050005,Бывший жилой дом священника Сретенской церкви отца Николая,Ирбит,"г. Ирбит, ул. Карла Маркса, д. 44",с 1850 до 1880,Домик,Плохое
661710788710005,Пассаж,Ирбит,"г. Ирбит, ул. Ленина, д. 21",с 1850 до 1880,Дворец,Хорошее
661710788720005,Здание бывшего дома купца Калинина,Ирбит,"г. Ирбит, ул. Ленина, д. 27",период не определен,Домик,Хорошее
661710788730005,Жилой дом - образец деревянного зодчества,Ирбит,"г. Ирбит, ул. Ленина, д. 37",период не определен,Домик,Удовлетворительное
661710788740005,Бывший дом купца Колмакова,Ирбит,"г. Ирбит, ул. Ленина, д. 4",с 1800 до 1850,Домик,Хорошее
661710789660005,Бывший дом Чистякова,Ирбит,"г. Ирбит, ул. Кирова, д. 21",с 1850 до 1880,Домик,Удовлетворительное
661710789670005,Здание бывшей Земской аптеки,Ирбит,"г. Ирбит, ул. Кирова, д. 76",с 1880 до 1900,Домик,Удовлетворительное
661710789680005,Бывший дом мещанина Иконникова,Ирбит,"г. Ирбит, ул. Кирова, д. 78",с 1880 до 1900,Домик,Руины
661710789690005,Здание постоялого двора,Ирбит,"г. Ирбит, ул. Кирова, д. 82",период не определен,Домик,Удовлетворительное
661710789700005,Здание торгового дома Т.С. Морозова,Ирбит,"г. Ирбит, ул. Кирова, д. 80",с 1850 до 1880,Домик,Удовлетворительное
661710789710005,Жилой дом в стиле позднего русского классицизма,Ирбит,"г. Ирбит, ул. Кирова, д. 60",период не определен,Домик,Хорошее
661710790680005,Жилое здание конца XIX в.,Ирбит,"г. Ирбит, ул. Кирова, д. 98",с 1880 до 1900,Домик,Хорошее
661710790730005,"Здание, в котором в 1918-1919 гг. размещался Ирбитский уездный исполком Советов рабочих, крестьянских и солдатских депутатов",Ирбит,"г. Ирбит, ул. Кирова, д. 74",с 1900 до 1920,Домик,Удовлетворительное
661710790770005,Бывший дом купца Михайлова,Ирбит,"г. Ирбит, ул. Пролетарская, д. 1",с 1880 до 1900,Домик,Руины
661710790800005,Бывший дом купца Стахеева,Ирбит,"г. Ирбит, ул. Пролетарская, д. 2",с 1880 до 1900,Домик,Хорошее
661710790820005,Типичное казенное здание конца XIX в.,Ирбит,"г. Ирбит, ул. Пролетарская, д. 46",с 1880 до 1900,Домик,Удовлетворительное
661710790840005,Бывший дом купца Луканина,Ирбит,"г. Ирбит, ул. Революции, д. 24",с 1850 до 1880,Дворец,Удовлетворительное
661710790850005,Бывший дом купца Дунаева,Ирбит,"г. Ирбит, ул. Советская, д. 1",с 1850 до 1880,Домик,Хорошее
661710790880005,Бывшая ярмарочная гостиница,Ирбит,"г. Ирбит, ул. Красноармейская, д. 1-3",с 1800 до 1850,Домик,Хорошее
661710790910005,Здание бывшего магазина купцов Гавриловых,Ирбит,"г. Ирбит, ул. Красноармейская, д. 15",период не определен,Домик,Удовлетворительное
661710790940005,Деревянное здание - бывший дом мещанина Чечетина,Ирбит,"г. Ирбит, ул. Октябрьская, д. 7",период не определен,Домик,Плохое
661710791270005,"Обелиск воинам Советской армии, умершим в госпиталях г. Ирбита в годы Великой Отечественной войны 1941-1945 гг.",Ирбит,"г. Ирбит, городское кладбище",с 1940 до 1960,Монумент,Хорошее
661710791280005,Бывший дом купца Ларькова (разная торговля),Ирбит,"г. Ирбит, ул. Советская, д. 52",период не определен,Домик,Ансамбль
661710791290005,Каменный особняк купца Смирнова,Ирбит,"г. Ирбит, ул. Советская, д. 45",с 1880 до 1900,Домик,Хорошее
661710791300005,Бывший дом купца Рудакова,Ирбит,"г. Ирбит, ул. Советская, д. 36",период не определен,Домик,Хорошее
661710791310005,Бывший дом купца Рудакова,Ирбит,"г. Ирбит, ул. Советская, д. 31",период не определен,Домик,Хорошее
661710791320005,"Одноэтажное каменное здание с декоративным парапетом, богато украшенное каменной резьбой",Ирбит,"г. Ирбит, ул. Советская, д. 16",с 1800 до 1850,Домик,Плохое
661710791330005,Бывший дом купца Фалалеева,Ирбит,"г. Ирбит, ул. Советская, д. 13",период не определен,Домик,Хорошее
661710791340005,Одноэтажный каменный дом с каменной резьбой по фасаду,Ирбит,"г. Ирбит, ул. Советская, д. 6",с 1850 до 1880,Домик,Удовлетворительное
661710791350005,Бывший дом купца Зязина,Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 25",период не определен,Домик,Удовлетворительное
661710791360005,"Здание, в котором в 1919 г. после освобождения города от колчаковцев, размещался Военно-революционный комитет",Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 37",с 1900 до 1920,Домик,Руины
661710792470005,Свято-Троицкая церковь,Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 100",с 1800 до 1850,Церковь,Хорошее
661710792480005,Здание бывшей мужской гимназии,Ирбит,"г. Ирбит, ул. Свободы, д. 24",с 1800 до 1850,Домик,Удовлетворительное
661710792490005,Здание в стиле русского классицизма (образцовый фасад),Ирбит,"г. Ирбит, ул. Карла Маркса, д. 38",период не определен,Домик,Удовлетворительное
661710792500005,"Здание, в котором в 1918 г. размещался Ирбитский уездный комитет РКП (б)",Ирбит,"г. Ирбит, ул. Ленина, д. 16",с 1900 до 1920,Домик,Руины
661710792520005,"Здание бывшей городской управы, где в 1918 г. проходил первый съезд Советов рабочих, крестьянских и солдатских депутатов",Ирбит,"г. Ирбит, ул. Ленина, д. 15",с 1900 до 1920,Дворец,Удовлетворительное
661710792530005,Сретенская церковь,Ирбит,"г. Ирбит, ул. Революции, д. 27б",с 1850 до 1880,Церковь,Руины
661710792550005,Усадьба,Ирбит,"г. Ирбит, ул. Ленина, д. 23",с 1850 до 1880,Домик,Не доступен
661710792570005,"Обелиск в память рабочих Ирбитского стекольного завода, погибших в годы Великой Отечественной войны",Ирбит,"г. Ирбит, Предзаводская площадь стекольного завода",период не определен,Монумент,Удовлетворительное
661710792580005,"Обелиск в память рабочих Ирбитского мотоциклетного завода, погибших в годы Великой Отечественной войны",Ирбит,"г. Ирбит, Предзаводская площадь мотоциклетного завода",период не определен,Монумент,Хорошее
661710792590005,"Обелиск в память рабочих Ирбитского автоприцепного завода, погибших в годы Великой Отечественной войны",Ирбит,"Сверловская область, г. Ирбит, Предзаводская площадь автоприцепного завода",период не определен,Монумент,Хорошее
661710792610005,"Братская могила советских и партийных работников г. Ирбита, расстрелянных колчаковцами в 1919 г., а также красноармейцев, погибших в боях при освобождении Ирбита в июле 1919 г.",Ирбит,"г. Ирбит, площадь им. В.И. Ленина",с 1900 до 1920,Монумент,Хорошее
661710792630005,Здание - образец деревянного зодчества конца XIX в.,Ирбит,"г. Ирбит, ул. Урицкого, д. 19",с 1880 до 1900,Изба,Хорошее
661710793470005,Двухэтажный каменный особняк с каменной резьбой по фасадам,Ирбит,"г. Ирбит, ул. Революции, д. 28",с 1800 до 1850,Домик,Плохое
661710793480005,Здание - образец жилищного строительства конца XIX в.,Ирбит,"г. Ирбит, ул. Революции, д. 37",с 1880 до 1900,Домик,Плохое
661710793990005,Бывшее Сибирское подворье,Ирбит,"г. Ирбит, ул. Революции, д. 16",с 1850 до 1880,Домик,Удовлетворительное
661710794000005,Дворец культуры железнодорожников,Каменск-Уральский,"г. Каменск-Уральский, ул. Паровозников, д. 2",с 1940 до 1960,Дворец,Плохое
661710794010005,Дом врача В.А. Скворцова,Каменск-Уральский,"г. Каменск-Уральский, ул. Революционная, д. 11",период не определен,Домик,Удовлетворительное
661710794020005,Дом купцов Грачевых,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 108",с 1900 до 1920,Домик,Удовлетворительное
661710794030005,Мануфактурный магазин Бухарева,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 122",с 1850 до 1880,Домик,Удовлетворительное
661710794040005,Лавка Герасимова,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 124",с 1850 до 1880,Домик,Удовлетворительное
661710794050005,Училище заводское,Каменск-Уральский,"г. Каменск-Уральский, ул. Карла Маркса, д. 17",с 1850 до 1880,Завод,Хорошее
661710794060005,Особняк с лавкой купца М.Д. Мередина,Невьянск,"г. Невьянск, пр. Октябрьский, д. 3",с 1800 до 1850,Домик,Руины
661710794070005,"Жилой дом в ""Кирпичном стиле""",Невьянск,"г. Невьянск, ул. Карла Маркса, д. 11",с 1880 до 1900,Домик,Удовлетворительное
661710794080005,Дом торговца Громазова,Невьянск,"г. Невьянск, ул. Карла Маркса, д. 4",с 1880 до 1900,Домик,Плохое
661710794090005,Здание гимназии - бывший купеческий особняк,Невьянск,"г. Невьянск, ул. Карла Маркса, д. 6",с 1850 до 1880,Домик,Удовлетворительное
661710794100005,Особняк купца Пискунова,Невьянск,"г. Невьянск, пр. Октябрьский, д. 15",с 1850 до 1880,Домик,Удовлетворительное
661710794110005,Жилой дом,Невьянск,"г. Невьянск, пр. Октябрьский, д. 19",с 1880 до 1900,Домик,Удовлетворительное
661710794120005,Постоялый двор,Невьянск,"г. Невьянск, ул. 1905 г., д. 4",с 1800 до 1850,Домик,Плохое
661710794130005,Торговая лавка,Невьянск,"г. Невьянск, ул. Комсомольская, д. 6а",с 1850 до 1880,Домик,Хорошее
661710794140005,Купеческий особняк Власова,Невьянск,"г. Невьянск, ул. Луначарского, д. 4",с 1880 до 1900,Домик,Удовлетворительное
661710794150005,Госпиталь Каменского завода,Каменск-Уральский,"г. Каменск-Уральский, ул. Красных Орлов, д. 4",с 1800 до 1850,Домик,Удовлетворительное
661710801110015,Дом жилой,Екатеринбург,"г. Екатеринбург, Верх-Исетский бульвар, д. 20",с 1940 до 1960,Многоэтажка,Хорошее
661710801110025,Гараж,Екатеринбург,"г. Екатеринбург, Верх-Исетский бульвар, д. 18",с 1940 до 1960,Амбар,Руины
661710801110035,Гараж,Екатеринбург,"г. Екатеринбург, Верх-Исетский бульвар, д. 20",с 1940 до 1960,Амбар,Хорошее
661710801110045,Элементы благоустройства,Екатеринбург,"г. Екатеринбург, Верх-Исетский бульвар, д. 18-20",с 1940 до 1960,Многоэтажка,Хорошее
661710801110055,Дом жилой,Екатеринбург,"г. Екатеринбург, Верх-Исетский бульвар, д. 18",с 1940 до 1960,Многоэтажка,Хорошее
661710801110065,Ворота,Екатеринбург,"г. Екатеринбург, Верх-Исетский бульвар, д. 18-20",с 1940 до 1960,Ворота,Хорошее
661710801120015,Корпус 14 - двухэтажный дом (модерн),Екатеринбург,"г. Екатеринбург, ул. Отдыха",с 1900 до 1920,Домик,Не доступен
661710801120025,Корпус 9 - одноэтажный дом,Утрачен,Утрачен,с 1900 до 1920,Домик,Не доступен
661710801120035,Корпус 6 - одноэтажный дом,Утрачен,Утрачен,с 1900 до 1920,Домик,Не доступен
661710801120045,Корпус 5 - одноэтажный дом,Утрачен,Утрачен,с 1900 до 1920,Домик,Не доступен
661710801130005,Гостиница Атаманова,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 19 / ул. Вайнера, д. 6",с 1880 до 1900,Дворец,Хорошее
661710801140005,"Широкореченский воинский мемориал. Место захоронения воинов, умерших от ран в госпиталях г. Свердловска",Екатеринбург,"г. Екатеринбург, Широкореченское кладбище",с 1940 до 1960,Монумент,Не доступен
661710802090006,Водонапорная башня,Екатеринбург,"г. Екатеринбург, ул. Бакинских комиссаров, д. 2а",с 1920 до 1940,Башня,Удовлетворительное
661710802100005,"Здание земской управы, где 18 октября 1905 г. состоялось первое открытое выступление Я.М. Свердлова",Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 60",с 1900 до 1920,Дворец,Хорошее
661710809610005,"Бывшее духовное училище. (Здание, в котором в 1941-1945 гг. размещался госпиталь № 1726)",Камышлов,"г. Камышлов, ул. Розы Люксембург, д. 9, ул. Карла Маркса, д. 23б",с 1900 до 1920,Дворец,Удовлетворительное
661710809620005,Церковь Сретения Господня,Камышловский район,"Камышловский район, с. Никольское, ул. Советская, д. 55б",с 1800 до 1850,Церковь,Не доступен
661710809630005,Церковь Боголюбская,Камышловский район,"Камышловский район, с. Галкинское, ул. Мира, д. 90",с 1800 до 1850,Церковь,Не доступен
661710809640005,"Здание, где с 1920 г. по 1923 г. жил П.П. Бажов",Камышлов,"г. Камышлов, ул. Кирова, д. 32",с 1920 до 1940,Изба,Хорошее
661710809650005,Здание мужской гимназии,Камышлов,"г. Камышлов, ул. Энгельса, д. 171, литера А7",с 1900 до 1920,Домик,Хорошее
661710809660005,Здание бывшей иконописной мастерской,Камышлов,"г. Камышлов, ул. Советская, д. 25",с 1900 до 1920,Домик,Хорошее
661710809670005,Здание женской гимназии,Камышлов,"г. Камышлов, ул. Энгельса, д. 171, литера А",с 1880 до 1900,Домик,Хорошее
661710809680005,"Дом, где жил поэт С.П. Щипачев",Камышлов,"г. Камышлов, ул. Свердлова, д. 97",период не определен,Изба,Хорошее
661710809690005,Бывший Покровский собор,Камышлов,"г. Камышлов, ул. Энгельса, д. 147-а",с 1800 до 1850,Церковь,Хорошее
661710809700005,Жилой дом,Камышлов,"г. Камышлов, ул. Урицкого, д. 14",с 1850 до 1880,Домик,Хорошее
661710809710005,Здание общественное,Камышлов,"г. Камышлов, ул. Энгельса, д. 119",с 1880 до 1900,Домик,Хорошее
661710817670005,"Здание в ""кирпичном стиле""",Камышлов,"г. Камышлов, ул. Свердлова, д. 59",с 1900 до 1920,Домик,Удовлетворительное
661710817680005,Дом жилой,Камышлов,"г. Камышлов, ул. Свердлова, д. 65",с 1850 до 1880,Домик,Хорошее
661710817690005,Жилой дом,Камышлов,"г. Камышлов, ул. Свердлова, д. 43",период не определен,Домик,Удовлетворительное
661710817700005,"Здание, в котором размещался УК РКСМ",Камышлов,"г. Камышлов, ул. Свердлова, д. 55",с 1900 до 1920,Домик,Хорошее
661710817710005,"Здание Земской управы. Здание, где проходил первый уездный съезд Советов рабочих, крестьянских и солдатских депутатов в ноябре 1917 г.",Камышлов,"г. Камышлов, ул. Свердлова, д. 41",с 1900 до 1920,Дворец,Хорошее
661710817720005,Особняк,Камышлов,"г. Камышлов, ул. Свердлова, д. 31а",период не определен,Домик,Удовлетворительное
661710817730015,Особняк,Алапаевск,"г. Алапаевск, ул. Красной Армии, д. 3",с 1900 до 1920,Домик,Удовлетворительное
661710817730045,Особняк,Алапаевск,"г. Алапаевск, ул. Красной Армии, д. 6",с 1900 до 1920,Домик,Удовлетворительное
661710817730055,Особняк,Алапаевск,"г. Алапаевск, ул. Красной Армии, д. 9",с 1900 до 1920,Домик,Удовлетворительное
661710817730065,Особняк,Алапаевск,"г. Алапаевск, ул. Красной Армии, д. 10",с 1900 до 1920,Домик,Удовлетворительное
661710817730075,Особняк,Алапаевск,"г. Алапаевск, ул. Красной Армии, д. 7",с 1900 до 1920,Домик,Удовлетворительное
661710817740005,Свято-Троицкий собор,Алапаевск,"г. Алапаевск, ул. Чайковского, д. 19",до 1800,Церковь,Удовлетворительное
661710817750005,"Дом, в котором жил создатель первой в России водяной турбины И.Е. Софонов",Алапаевск,"г. Алапаевск, ул. Розы Люксембург, д. 30",с 1800 до 1850,Дворец,Хорошее
661710817760025,Корпус учебный,Верхотурье,"г. Верхотурье, ул. Сенянского, д. 12",с 1900 до 1920,Домик,Хорошее
661710817770015,Строение хозяйственное,Верхотурье,"г. Верхотурье, пос. Привокзальный, пл. Вокзальная",с 1900 до 1920,Изба,Хорошее
661710817770025,Здание вокзала,Верхотурье,"г. Верхотурье, пос. Привокзальный, Вокзальная пл.",с 1900 до 1920,Изба,Хорошее
661710817770035,Жилой дом,Верхотурье,"г. Верхотурье, пос. Привокзальный, ул. Вокзальная, д. 4",с 1900 до 1920,Изба,Удовлетворительное
661710817770045,Жилой дом,Верхотурье,"г. Верхотурье, пос. Привокзальный, ул. Вокзальная, д. 6",с 1900 до 1920,Изба,Удовлетворительное
661710817770055,Жилой дом,Верхотурье,"г. Верхотурье, пос. Привокзальный, ул. Вокзальная, д. 7",с 1900 до 1920,Изба,Удовлетворительное
661710817770065,Жилой дом,Верхотурье,"г. Верхотурье, пос. Привокзальный, ул. Вокзальная, д. 8",с 1900 до 1920,Изба,Удовлетворительное
661710817770075,Жилой дом,Верхотурье,"г. Верхотурье, пос. Привокзальный, ул. Вокзальная, д. 9",с 1900 до 1920,Изба,Удовлетворительное
661710817770085,Жилой дом,Верхотурье,"г. Верхотурье, пос. Привокзальный, ул. Мира, д. 2",с 1900 до 1920,Изба,Удовлетворительное
661710817770095,Жилой дом,Верхотурье,"г. Верхотурье, пос. Привокзальный, ул. Мира, д. 4",с 1900 до 1920,Изба,Удовлетворительное
661710817780005,Уличный фасад торгового дома купца А.Н. Захо,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 25",с 1940 до 1960,Домик,Хорошее
661710817790005,Городская усадьба,Первоуральск,"г. Первоуральск, ул. Ленина, д. 65",с 1850 до 1880,Изба,Удовлетворительное
661710817800005,Часовня св. Иосифа Песнописца,Красноуфимск,"г. Красноуфимск, ул. Пролетарская, д. 81а",с 1800 до 1850,Церковь,Хорошее
661710817810005,Механический цех Нижне-Сергинского металлургического завода,Нижние Серги,"г. Нижние Серги, металлургический завод",с 1850 до 1880,Завод,Не доступен
661710817820005,Запорный узел заводской плотины Сергинского металлургического завода,Нижние Серги,"г. Нижние Серги, металлургический завод",до 1800,Завод,Не доступен
661710820860005,"Дом, в котором находился рабочий клуб и в 1905 г. выступал Я.М. Свердлов",Нижний Тагил,"г. Нижний Тагил, ул. Тагильская, д. 29-31",с 1900 до 1920,Домик,Удовлетворительное
661710820870015,Собор Крестовоздвиженский,Нижний Тагил,"г. Нижний Тагил, ул. Красногвардейская, д. 55",с 1900 до 1920,Церковь,Хорошее
661710820870025,Часовня,Нижний Тагил,"г. Нижний Тагил, ул. Красногвардейская, д. 55",с 1900 до 1920,Церковь,Удовлетворительное
661710820880005,Бюст А.П. Бондина,Нижний Тагил,"г. Нижний Тагил, городской парк",с 1940 до 1960,Монумент,Удовлетворительное
661710820890005,Дом подрядчика Белова. Здесь в 1930-е годы жил Ш.С. Окуджава - отец поэта Б.Ш. Окуджавы,Нижний Тагил,"г. Нижний Тагил, ул. Карла Маркса, д. 20 ""А""",с 1880 до 1900,Домик,Хорошее
661710820900015,Дом жилой,Каменск-Уральский,"г. Каменск-Уральский, ул. Беляева, д. 4",с 1920 до 1940,Многоэтажка,Удовлетворительное
661710820900025,Дом жилой,Каменск-Уральский,"г. Каменск-Уральский, ул. Карла Маркса, д. 89",с 1920 до 1940,Многоэтажка,Удовлетворительное
661710820910005,Дворец культуры Уральского алюминиевого завода,Каменск-Уральский,"г. Каменск-Уральский, ул. Алюминиевая, д. 2",с 1940 до 1960,Дворец,Хорошее
661710820920005,Каменный дом с чайной лавкой,Верхотурье,"г. Верхотурье, ул. Ленина, д. 1",с 1850 до 1880,Домик,Плохое
661710820930005,Церковь,Невьянский район,"Невьянский район, с. Шурала, ул. Ленина, зд.16",с 1850 до 1880,Церковь,Удовлетворительное
661710820940005,Церковь Казанская,Невьянский район,"Невьянский район, с. Быньги",с 1850 до 1880,Церковь,Удовлетворительное
661710820950005,Церковь Святой Троицы,Билимбай,"городской округ Первоуральск, п. Билимбай, пл. Свободы, стр. 1",с 1800 до 1850,Церковь,Плохое
661710820960006,Доменная печь с литейным двором,Полевской,"г. Полевской, Северский трубный завод",с 1850 до 1880,Домик,Не доступен
661710820970005,Здание школы,Реж,"г. Реж, ул. Советская, д. 34",с 1850 до 1880,Домик,Удовлетворительное
661710820980005,Церковь Вознесения,Реж,"г. Реж, Орловая гора",с 1850 до 1880,Церковь,Хорошее
661710820990005,Николаевская церковь,городской округ Сухой Лог,"городской округ Сухой Лог, с. Новопышминское, ул. Кирова, д. 69",с 1800 до 1850,Церковь,Не доступен
661710821000005,Церковь Рождества Христова,Слободо-Туринский район,"Слободо-Туринский район, с. Усть-Ница",до 1800,Церковь,Не доступен
661710821340005,Часовня Александра Невского,Краснотурьинск,"г. Краснотурьинск, ул. Октябрьская",с 1850 до 1880,Церковь,Удовлетворительное
661710821350015,Главный дом,Екатеринбург,"г. Екатеринбург, ул. Октябрьской революции, д. 52",с 1850 до 1880,Домик,Хорошее
661710821350025,Флигель,Екатеринбург,"г. Екатеринбург, ул. Октябрьской революции, д. 52",с 1850 до 1880,Изба,Хорошее
661710828520005,Каменный мост через р. Дарнейку,Верхотурье,"г. Верхотурье, ул. Советская",с 1850 до 1880,Мост,Хорошее
661710828530005,Пешеходный подвесной мост через р. Туру,Верхотурье,"г. Верхотурье, у Троицкого камня",с 1850 до 1880,Мост,Хорошее
661710828540005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Дементьева, д. 7",период не определен,Изба,Удовлетворительное
661710828550005,Ветлечебница,Верхотурье,"г. Верхотурье, ул. Воинская, д. 9",с 1900 до 1920,Изба,Плохое
661710828560005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Малышева, д. 12",с 1900 до 1920,Изба,Удовлетворительное
661710828570005,Дом жилой,Верхотурье,"г. Верхотурье, ул. Советская, д. 33",с 1900 до 1920,Изба,Удовлетворительное
661710828580005,Доходный дом,Верхотурье,"г. Верхотурье, ул. Советская, д. 19",с 1900 до 1920,Изба,Удовлетворительное
661710828590005,Дом жилой,Верхотурье,"г. Верхотурье, ул. Советская, д. 11",с 1850 до 1880,Изба,Хорошее
661710828600005,Жилой дом с образцовым фасадом,Верхотурье,"г. Верхотурье, ул. Комсомольская, д. 19",с 1800 до 1850,Домик,Удовлетворительное
661710828610005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Карла Маркса, д. 30",период не определен,Изба,Удовлетворительное
661710828620005,Здание общественного собрания,Верхотурье,"г. Верхотурье, ул. Карла Маркса, д. 2",с 1900 до 1920,Домик,Хорошее
661710828630005,Каменная лавка,Верхотурье,"г. Верхотурье, ул. Карла Маркса, д. 4",с 1850 до 1880,Домик,Хорошее
661710828640005,Жилой дом с магазинами,Верхотурье,"г. Верхотурье, ул. Карла Маркса, д. 5",с 1850 до 1880,Дворец,Хорошее
661710828650005,Каменная лавка,Верхотурье,"г. Верхотурье, ул. Карла Маркса, д. 7",с 1850 до 1880,Домик,Удовлетворительное
661710828660005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Карла Маркса, д. 17",период не определен,Изба,Хорошее
661710828670005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Карла Маркса, д. 21",период не определен,Изба,Удовлетворительное
661710828680006,Водонапорная башня доменного цеха,муниципальное образование Алапаевское,"муниципальное образование Алапаевское, пгт Верхняя Синячиха, ул. Советская, д. 22/53",с 1850 до 1880,Башня,Плохое
661710828690005,Дом жилой Ивана Коптелова,муниципальное образование Алапаевское,"муниципальное образование Алапаевское, с. Коптелово, ул. Чапаева, д.13а",до 1800,Изба,Руины
661710828700005,Церковь Вознесения,муниципальное образование Алапаевское,"муниципальное образование Алапаевское, с. Голубковское, ул. Школьная, д. 2а",с 1850 до 1880,Церковь,Не доступен
661710828710005,Церковь Рождества Богородицы,Горноуральский городской округ,"Горноуральский городской округ, с. Краснополье, ул. Горная",с 1800 до 1850,Церковь,Удовлетворительное
661710828720005,Церковь Сретения,Горноуральский городской округ,"Горноуральский городской округ, с. Мурзинка",до 1800,Церковь,Удовлетворительное
661710828730005,Здание Мугайской школы (в деревянном исполнении с элементами стиля модерн),Махневское муниципальное образование,"Махневское муниципальное образование, с. Мугай",с 1900 до 1920,Домик,Не доступен
661710828740005,Участковая больница,Гаринский район,"Гаринский район, с. Андрюшино",с 1900 до 1920,Домик,Не доступен
661710829440015,Часовня во имя Святого Праведника Симеона Верхотурского,Верхотурский район,"Верхотурский район, с. Меркушино, ул. Центральная, д. 9е",с 1850 до 1880,Церковь,Хорошее
661710829440025,Подпорная стена,Верхотурский район,"Верхотурский район, с. Меркушино, ул. Центральная, д. 9е",с 1850 до 1880,Домик,Не доступен
661710829440035,Ограда,Верхотурский район,"Верхотурский район, с. Меркушино, ул. Центральная, д. 9е",с 1850 до 1880,Ворота,Не доступен
